ID;Name;pre38;pre39;pre40;pre41;pre42;pre43;pre44;pre45;pre46;pre47;pre48;pre49;post38;post39;post40;post41;post42;post43;post44;post45;post46;post47;post48;post49;control;gender;yearsTeaching;country;Physics;Chemistry;Biology;Technology;Math;Integrated
1;Respondent 1;4;4;3;3;3;;;3;3;3;3;3;4;4;3;3;3;3;4;3;3;3;3;2;n;1;3;DK;1;1;0;0;0;0
2;Respondent 2;4;4;3;4;5;4;;2;4;5;3;2;5;4;4;4;5;5;4;4;4;4;4;3;n;2;4;DK;1;1;1;0;1;0
3;Respondent 3;4;3;4;3;3;2;4;4;4;4;5;4;4;4;3;;4;;3;4;4;5;5;4;n;1;2;DK;0;0;0;1;0;0
4;Respondent 4;4;;1;2;;4;2;1;;5;4;2;3;4;3;;4;1;;2;3;5;3;3;n;1;3;DK;1;0;0;0;1;0
5;Respondent 5;4;2;3;4;4;4;5;3;4;3;4;3;4;1;4;3;4;3;4;4;4;4;4;3;n;1;3;DK;1;1;1;0;1;0
6;Respondent 6;3;5;4;3;3;2;;2;3;;4;4;4;5;3;;5;3;3;3;;5;4;3;n;2;3;DK;1;0;0;0;1;0
7;Respondent 7;4;5;4;3;2;3;3;4;3;3;3;4;3;2;4;2;5;4;2;4;4;5;5;4;n;1;3;DK;0;0;1;0;0;0
8;Respondent 8;3;1;2;2;2;;;2;;1;;1;3;3;2;4;;2;1;2;2;2;3;3;n;2;1;DK;0;0;0;0;1;0
9;Respondent 9;5;5;5;5;2;4;2;5;2;3;5;5;5;5;4;4;4;3;4;5;4;5;4;5;n;1;4;DK;0;0;0;1;0;0
10;Respondent 10;5;5;;5;5;5;5;4;;3;;;5;5;4;5;5;4;4;5;;5;4;5;n;2;4;DK;1;1;1;0;1;0
11;Respondent 11;4;5;1;4;3;3;2;3;;3;3;4;5;5;5;5;5;3;5;5;;4;4;5;n;2;2;DK;0;0;1;0;0;0
12;Respondent 12;5;5;3;;3;3;3;4;4;3;5;4;4;5;4;2;5;3;2;4;2;4;4;4;n;2;2;DK;0;1;1;0;0;0
13;Respondent 13;4;5;3;4;4;;;3;4;5;;2;5;4;4;5;5;4;4;4;4;5;4;5;n;1;2;DK;0;0;1;0;0;0
14;Respondent 14;5;3;3;5;5;1;1;3;;3;3;3;5;4;3;3;3;1;1;3;3;3;3;4;y;1;2;DK;0;0;1;0;0;0
15;Respondent 15;5;5;3;4;4;2;4;3;5;4;;3;5;5;3;4;5;2;4;3;3;5;;5;y;2;4;DK;0;1;0;1;1;0
16;Respondent 16;3;4;4;3;;;5;3;;4;5;4;4;4;2;4;;;;;;5;4;2;y;1;4;DK;1;0;0;0;1;0
17;Respondent 17;1;4;3;1;3;2;2;2;;;3;4;;4;4;1;2;1;4;2;4;4;2;2;n;1;4;CH;1;0;0;0;0;0
18;Respondent 18;;;2;3;2;1;3;2;5;;;3;2;2;4;3;1;2;5;3;3;;2;3;n;2;2;CH;0;0;0;0;1;1
19;Respondent 19;1;4;3;1;3;3;2;2;4;2;2;5;2;4;3;3;4;4;5;5;5;2;2;3;n;NA;1;CH;0;0;0;0;1;1
20;Respondent 20;2;5;3;1;2;3;2;4;5;1;1;3;1;5;4;3;2;1;4;1;5;2;2;2;n;2;4;CH;0;0;0;0;1;1
21;Respondent 21;1;2;5;1;1;1;5;4;4;4;2;1;3;1;5;3;1;1;5;4;4;3;3;2;n;2;3;CH;0;0;1;0;0;0
22;Respondent 22;4;1;5;1;1;2;3;2;5;1;;3;4;1;5;3;1;1;4;1;5;;;1;n;2;3;CH;0;0;0;0;0;1
23;Respondent 23;2;2;4;3;3;4;4;3;3;2;3;2;1;4;2;3;3;2;3;1;5;3;3;2;n;1;4;CH;0;0;0;0;1;1
24;Respondent 24;1;4;4;1;;1;;1;5;3;;;1;5;4;1;2;1;;;3;5;1;;n;2;3;CH;0;0;1;0;0;0
25;Respondent 25;1;;;1;2;1;;1;5;2;2;;;;;1;3;1;4;1;5;;1;3;n;1;2;CH;1;0;0;0;1;0
26;Respondent 26;1;;;1;5;1;3;4;5;;;5;1;;;1;3;2;4;3;1;5;1;2;n;NA;2;CH;1;0;0;0;1;0
27;Respondent 27;1;3;4;3;1;3;4;1;5;3;2;2;3;2;4;1;1;2;5;2;5;4;1;2;n;1;4;CH;0;0;1;0;0;0
28;Respondent 28;1;;;3;2;4;;;5;3;4;2;;;;1;2;2;5;;5;;;2;n;1;3;CH;0;0;1;0;1;1
29;Respondent 29;1;;;1;4;4;2;;2;;;5;1;4;2;1;2;3;4;2;3;3;3;2;n;2;1;CH;0;1;0;0;0;0
30;Respondent 30;;;;3;2;3;3;;;4;2;3;2;3;4;1;1;2;3;4;5;;2;2;n;1;2;CH;0;1;0;0;1;0
31;Respondent 31;;5;1;1;5;5;1;3;;;;;;;;;;5;;;1;;;5;y;1;2;CH;0;1;1;0;0;0
32;Respondent 32;1;;1;3;4;4;1;;;;;5;;;;3;;;1;;;;1;5;y;2;2;CH;0;0;0;0;1;1
33;Respondent 33;;;;;;;;;;;;;1;4;2;3;4;4;1;;2;4;2;5;y;1;2;CH;0;0;1;0;0;0
34;Respondent 34;2;1;;3;2;4;5;4;4;2;4;3;2;2;4;1;2;2;4;3;3;3;3;2;y;2;2;CH;0;0;1;0;0;0
35;Respondent 35;;;;1;3;2;4;;;2;2;2;;;;1;2;2;4;4;5;2;;2;y;2;1;CH;1;0;0;0;1;0
36;Respondent 36;1;5;;1;;2;4;3;3;2;;2;3;2;5;3;1;1;5;1;4;3;2;1;y;1;3;CH;0;0;1;0;0;0
37;Respondent 37;1;5;3;1;3;3;;;;2;;;1;5;1;1;3;2;;;;;;;y;1;4;CH;1;0;0;0;1;0
38;Respondent 38;1;5;;3;2;2;4;1;5;1;2;1;3;2;4;1;3;5;4;2;2;2;2;1;y;2;4;CH;0;0;0;0;1;1
39;Respondent 39;4;2;4;3;4;4;3;3;5;;3;3;3;4;4;3;3;2;3;4;3;;3;3;y;NA;2;CH;0;0;0;0;1;1
40;Respondent 40;4;3;3;;2;2;2;3;4;2;;4;;;;;;;;;;;;;y;2;3;CH;1;1;1;0;0;0
41;Respondent 41;1;4;2;1;5;;1;;;4;2;5;1;3;4;1;4;3;2;;2;3;2;4;y;1;3;CH;0;1;1;0;0;0
42;Respondent 42;1;2;5;3;4;4;;;;;2;4;1;3;4;3;;3;2;4;;;2;4;y;2;1;CH;0;0;1;0;0;0
43;Respondent 43;;3;2;;;5;3;2;3;;;2;4;2;4;4;4;4;;3;1;5;4;4;n;2;3;FI;1;0;0;0;0;0
44;Respondent 44;5;2;3;3;;2;2;3;;3;1;2;5;3;4;5;5;3;;4;;;4;5;n;2;3;FI;0;0;1;0;1;0
45;Respondent 45;5;2;2;3;3;2;3;2;2;3;4;2;5;2;3;5;3;3;2;2;2;3;4;2;n;1;3;FI;0;0;0;0;1;0
46;Respondent 46;4;5;4;5;5;2;2;2;2;;;4;5;3;3;5;5;5;4;3;;5;4;4;n;2;4;FI;0;0;0;0;1;0
47;Respondent 47;4;2;4;3;3;3;3;3;3;3;3;3;4;2;4;3;3;2;3;4;2;3;4;3;n;NA;3;FI;1;1;0;0;1;0
48;Respondent 48;5;2;3;4;4;2;4;4;2;4;5;3;4;4;4;4;4;3;3;4;2;4;4;4;n;NA;3;FI;0;0;0;0;1;0
49;Respondent 49;5;5;5;5;5;4;4;5;2;5;5;5;5;5;5;5;5;5;4;5;2;5;5;5;n;NA;3;FI;0;0;0;0;1;0
50;Respondent 50;2;4;4;2;3;3;1;2;3;2;5;5;3;2;4;2;2;4;1;5;2;2;5;;y;1;4;FI;0;0;0;0;1;0
51;Respondent 51;4;2;4;2;1;4;;2;;1;3;4;;3;4;3;3;3;4;4;1;5;4;2;n;2;4;CZ;0;0;0;0;1;0
52;Respondent 52;;;3;2;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;n;2;4;CZ;0;0;0;0;1;0
53;Respondent 53;5;5;;5;1;;5;;4;;5;;3;;3;4;5;4;4;;5;5;5;1;n;2;1;CZ;0;0;0;0;1;0
54;Respondent 54;;1;1;1;1;;2;1;;2;4;5;3;4;3;5;4;4;;;2;2;5;1;n;NA;4;CZ;0;0;1;0;0;0
55;Respondent 55;;;1;1;1;4;;;;1;;3;3;4;3;4;5;4;1;;;5;;4;n;2;2;CZ;0;0;0;0;1;0
56;Respondent 56;5;3;3;1;1;5;5;4;1;1;5;4;3;3;4;4;3;4;3;2;3;4;5;2;n;2;1;CZ;0;0;1;1;1;0
57;Respondent 57;3;1;;4;1;1;2;3;2;1;4;4;5;4;3;5;5;3;;;5;5;4;2;n;NA;4;CZ;0;0;1;0;1;0
58;Respondent 58;4;2;;2;2;;;3;;2;4;;4;4;4;3;4;2;3;3;3;2;4;3;n;2;2;CZ;0;1;1;0;0;0
59;Respondent 59;5;1;;1;1;3;4;;1;;5;5;5;5;3;5;5;5;2;;5;5;5;1;n;2;1;CZ;0;0;0;0;1;0
60;Respondent 60;5;1;4;3;2;4;2;3;1;1;4;2;;3;4;5;5;3;1;3;3;4;4;2;n;1;3;CZ;0;0;1;0;1;0
61;Respondent 61;3;2;4;4;3;3;2;2;4;2;2;4;3;3;2;3;3;3;3;3;3;3;3;3;y;1;3;CZ;0;1;1;0;0;0
62;Respondent 62;5;1;;1;1;5;5;;1;1;5;5;3;5;3;5;5;5;5;3;5;5;4;1;y;2;1;CZ;0;0;0;0;1;0
63;Respondent 63;;;;;;;;;;;;5;;;;5;;;;;;5;5;1;y;2;4;CZ;0;0;0;0;1;0
64;Respondent 64;4;2;2;2;2;;3;;4;2;4;4;3;;2;4;4;;3;2;4;;4;2;y;NA;4;CZ;0;0;1;0;1;0
65;Respondent 65;4;1;2;1;1;1;4;2;1;1;3;3;3;2;1;2;5;;4;1;3;5;2;;y;2;4;CZ;0;0;0;0;1;0
66;Respondent 66;4;1;4;1;1;4;4;4;1;4;5;4;4;4;3;4;5;2;3;2;4;3;4;3;y;2;4;CZ;0;0;1;0;1;0
67;Respondent 67;5;;3;3;;3;3;;4;4;4;5;4;;3;4;4;4;4;;2;2;4;2;y;2;4;CZ;0;0;1;0;1;0
68;Respondent 68;4;3;4;1;1;3;4;4;2;2;4;5;4;4;4;4;4;1;1;4;4;4;4;2;y;2;4;CZ;0;0;1;0;1;0
69;Respondent 69;3;2;;;3;3;4;;;;3;;4;3;3;3;4;4;4;3;4;4;5;3;y;2;4;CZ;0;0;0;0;1;0
70;Respondent 70;5;3;4;;1;;1;;2;;;4;4;;3;4;4;;2;;;4;4;2;y;2;1;CZ;1;1;1;0;0;0
71;Respondent 71;5;3;;3;5;;2;2;;;1;4;3;4;2;;5;2;5;3;;2;1;3;n;2;3;F;1;1;0;0;0;0
72;Respondent 72;5;5;3;2;4;5;5;4;4;;5;5;5;5;4;3;4;3;5;4;;4;5;5;n;NA;3;F;1;1;0;0;0;0
73;Respondent 73;5;5;3;2;5;2;2;5;5;5;3;5;4;4;4;5;5;3;5;4;5;4;2;2;n;NA;3;F;1;1;0;0;0;0
74;Respondent 74;5;4;4;4;4;3;3;4;2;3;4;3;5;5;4;2;5;3;4;4;2;3;4;4;n;NA;3;F;1;1;0;0;0;0
75;Respondent 75;5;5;4;5;5;3;5;4;5;5;5;5;5;5;4;5;5;4;3;4;5;5;5;3;n;NA;2;F;0;0;0;0;1;0
76;Respondent 76;3;4;1;1;;;;2;;3;;3;4;2;5;5;5;4;3;4;4;2;3;4;n;NA;4;F;0;0;1;0;0;0
77;Respondent 77;5;4;1;4;5;5;;2;;4;3;2;3;5;1;5;5;3;NA;2;NA;5;4;3;n;2;2;F;0;0;0;0;1;0
78;Respondent 78;3;5;2;2;5;2;2;2;5;3;5;3;5;5;4;5;5;2;;4;5;5;3;4;n;NA;2;F;0;0;1;0;0;0
79;Respondent 79;4;4;;;4;4;;3;4;5;;2;4;4;3;4;5;4;2;4;4;4;;4;n;1;3;F;1;1;0;0;0;0
80;Respondent 80;3;2;4;5;5;4;4;4;5;5;4;5;5;5;5;5;5;4;5;5;5;5;5;5;n;2;3;F;0;0;0;0;0;1
81;Respondent 81;5;5;2;5;5;2;;5;2;5;;5;4;3;2;5;5;;1;2;;5;5;;n;2;3;F;1;1;0;0;0;0
82;Respondent 82;4;4;2;2;4;5;5;3;4;2;4;1;4;4;3;5;5;5;5;4;4;1;4;3;n;NA;2;F;0;0;0;1;0;0
83;Respondent 83;4;4;3;4;5;3;4;2;3;;;3;;5;3;4;5;2;4;3;;4;;3;n;NA;3;F;0;0;1;0;0;0
84;Respondent 84;4;5;4;5;5;4;4;4;5;5;4;5;5;5;4;5;5;5;5;5;5;1;5;5;n;NA;3;F;0;0;1;0;0;1
85;Respondent 85;3;5;5;5;5;1;3;4;4;2;3;5;4;4;4;4;4;2;4;4;;5;4;5;n;NA;3;F;1;1;0;0;0;0
86;Respondent 86;4;5;4;5;5;4;;4;5;5;4;4;4;5;4;5;5;5;4;4;5;5;4;4;n;NA;4;F;0;0;0;1;0;0
87;Respondent 87;4;5;3;5;5;3;4;4;5;4;4;5;3;4;2;4;4;4;2;3;4;3;4;4;y;NA;4;F;0;0;0;1;0;0
88;Respondent 88;;5;5;5;5;3;3;5;5;5;5;5;3;4;2;5;5;3;3;4;;;5;;y;NA;2;F;0;0;1;0;0;0
89;Respondent 89;4;4;2;3;4;4;3;4;;4;3;3;3;4;2;3;4;4;2;3;4;3;4;4;y;NA;3;F;0;0;0;0;1;0
90;Respondent 90;4;4;4;5;5;5;4;4;5;4;5;2;4;5;4;4;4;5;4;4;4;3;5;5;n;NA;2;D;0;1;1;0;1;1
91;Respondent 91;5;5;3;5;5;NA;3;3;1;5;5;5;5;5;5;5;4;4;2;5;3;5;5;5;n;NA;1;D;0;1;0;0;1;0
92;Respondent 92;5;5;5;5;4;5;4;5;4;4;5;5;4;5;5;5;5;4;3;5;4;4;5;5;n;NA;2;D;1;0;0;0;1;1
93;Respondent 93;3;5;3;5;4;4;3;3;4;2;5;5;5;5;4;5;5;4;3;4;5;3;2;5;n;NA;1;D;0;1;1;0;0;0